#Approved Symbol	Previous Symbols	Synonyms
A1BG		
ATP6V0A4	ATP6N1B, ATP6N2, RTA1C	RDRTA2, VPP2, RTADR, a4, Vph1, Stv1
ATP6AP1	ATP6S1, ATP6IP1	ORF, XAP-3, VATPS1, 16A, Ac45, XAP3, CF2
ATP7A	MNK	
ATP7B	WND	
ATPIF1		ATPI, IP, ATPIP, MGC1167, MGC8898
ALDH7A1	ATQ1	EPD, PDE
ALDH7A1P1	ATQL1	
ALDH7A1P2	ATQL2	
ALDH7A1P3	ATQL3	
ALDH7A1P4	ATQL4	
ATR		FRP1, SCKL, SCKL1, MEC1
ATRN		DPPT-L, MGCA
ATRX	RAD54, JMS	XH2, XNP
KIF1A	ATSV, C2orf20, SPG30	UNC104
AUH		
AUP1		
AUTS1		
AVP	ARVP	ADH
AVPR1A	AVPR1	
AVPR1B	AVPR3	
AVPR2	DIR3, DIR	V2R
AXIN1		PPP1R49
AXIN2		MGC126582, DKFZp781B0869
AXL		UFO, JTK11
AZF1	AZF	AZFa
AZGP1		ZA2G, ZAG
AZGP1P1		
AZGP1P2		
AZU1		AZU, CAP37, AZAMP, HBP, NAZC, HUMAZUR
B2M		
B2MR		
B3GALT1		beta3Gal-T1
B3GALT2		beta3Gal-T2
B3GALNT1	B3GALT3	beta3Gal-T3, galT3, P1, GLOB
B3GALT4		beta3Gal-T4, GalT4
B3GALT5		beta3Gal-T5, B3GalT-V, GLCT5, B3T5
B3GAT1	CD57, LEU7	GlcAT-P, HNK-1, NK-1
B3GAT2		GlcAT-S
B3GAT3		GlcAT-I
B4GALT1	GGTB2	beta4Gal-T1
B4GALT2		beta4Gal-T2
B4GALT3		beta4Gal-T3
B4GALT4		beta4Gal-T4
B4GALT5		beta4GalT-V
B4GALT6		beta4GalT-VI
B4GALT7		XGALT-1, beta4Gal-T7
BAAT		BAT
BACE1	BACE	
BACE2	AEPLC	CEAP1, DRAP, ALP56
BACH1		BACH-1, BTBD24
BAD		BCL2L8, BBC2
BAG1		
BAG2		
BAG3		
BAG4		SODD
BAG5		
BAGE		CT2.1
BAI1		
BAI2		
BAI3		KIAA0550
MAGI1	BAIAP1	BAP1, MAGI-1, TNRC19, AIP3, WWP3
BAIAP2		BAP2
BAIAP3		BAP3, KIAA0734
BAK1	CDN1	BCL2L7, BAK
BAP1		hucep-6, KIAA0272, UCHL2
NKX3-2	BAPX1	NKX3B, NKX3.2
BARD1		
BARHL1		
BARHL2		
BARX1		
BARX2		
BASP1		NAP-22, NAP22, CAP23, CAP-23
BATF		B-ATF, SFA-2, BATF1
BAX		BCL2L4
BAZ1A		hACF1, ACF1, WALp1, WCRF180
BAZ1B	WBSCR9, WBSCR10	WSTF
BAZ2A		KIAA0314, TIP5, WALp3
BAZ2B		WALp4
BBOX1	BBOX	gamma-BBH, G-BBH, BBH
BBS1		FLJ23590
BBS2	BBS	
BBS4		
BBS5		DKFZp762I194
BCAR1		P130Cas, Crkas, CAS, CASS1
BCAR3		NSP2, SH2D3B
BCAS1		NABC1, AIBC1
BCAS2		DAM1, SPF27, Snt309
BCAT1	BCT1	
BCAT2	BCT2	BCAM
BCCIP		BCCIPalpha, TOK-1
BCHE	CHE1	E1
BCKDHA	OVD1A	MSU
BCKDHB		
BCL10		CARMEN, CIPER, mE10, c-E10, CLAP
BCL2		Bcl-2, PPP1R50
BCL2A1	HBPA1	GRS, BFL1, BCL2L5, ACC-1, ACC-2
BCL2L1		BCLX, BCL2L, Bcl-X, bcl-xL, bcl-xS, PPP1R52
BCL2L10		Diva, Boo, BCL-B
